team,date,competition,opponent,venue,result,gf,ga,is_friendly
Estonia,2018-01-07,Friendly,Sweden,neutral,D,1,1,True
Sweden,2018-01-07,Friendly,Estonia,neutral,D,1,1,True
Denmark,2018-01-11,Friendly,Sweden,neutral,L,0,1,True
Finland,2018-01-11,Friendly,Jordan,neutral,W,2,1,True
Jordan,2018-01-11,Friendly,Finland,neutral,L,1,2,True
Sweden,2018-01-11,Friendly,Denmark,neutral,W,1,0,True
Moldova,2018-01-27,Friendly,South Korea,neutral,L,0,1,True
South Korea,2018-01-27,Friendly,Moldova,neutral,W,1,0,True
Bosnia and Herzegovina,2018-01-28,Friendly,United States,away,D,0,0,True
United States,2018-01-28,Friendly,Bosnia and Herzegovina,home,D,0,0,True
Jamaica,2018-01-30,Friendly,South Korea,neutral,D,2,2,True
South Korea,2018-01-30,Friendly,Jamaica,neutral,D,2,2,True
Bosnia and Herzegovina,2018-01-31,Friendly,Mexico,neutral,L,0,1,True
Mexico,2018-01-31,Friendly,Bosnia and Herzegovina,neutral,W,1,0,True
Latvia,2018-02-03,Friendly,South Korea,neutral,L,0,1,True
South Korea,2018-02-03,Friendly,Latvia,neutral,W,1,0,True
Moldova,2018-02-26,Friendly,Saudi Arabia,away,L,0,3,True
Saudi Arabia,2018-02-26,Friendly,Moldova,home,W,3,0,True
Iraq,2018-02-28,Friendly,Saudi Arabia,home,W,4,1,True
Saudi Arabia,2018-02-28,Friendly,Iraq,away,L,1,4,True
Iran,2018-03-17,Friendly,Sierra Leone,home,W,4,0,True
Sierra Leone,2018-03-17,Friendly,Iran,away,L,0,4,True
Angola,2018-03-21,Friendly,South Africa,neutral,D,1,1,True
Iraq,2018-03-21,Friendly,Qatar,home,L,2,3,True
Jordan,2018-03-21,Friendly,Kuwait,home,W,1,0,True
Kuwait,2018-03-21,Friendly,Jordan,away,L,0,1,True
Qatar,2018-03-21,Friendly,Iraq,away,W,3,2,True
South Africa,2018-03-21,Friendly,Angola,neutral,D,1,1,True
Algeria,2018-03-22,Friendly,Tanzania,home,W,4,1,True
Denmark,2018-03-22,Friendly,Panama,home,W,1,0,True
Panama,2018-03-22,Friendly,Denmark,away,L,0,1,True
Tanzania,2018-03-22,Friendly,Algeria,away,L,1,4,True
Argentina,2018-03-23,Friendly,Italy,neutral,W,2,0,True
Australia,2018-03-23,Friendly,Norway,away,L,1,4,True
Austria,2018-03-23,Friendly,Slovenia,home,W,3,0,True
Bolivia,2018-03-23,Friendly,Curacao,away,D,1,1,True
Bosnia and Herzegovina,2018-03-23,Friendly,Bulgaria,away,W,1,0,True
Brazil,2018-03-23,Friendly,Russia,away,W,3,0,True
Bulgaria,2018-03-23,Friendly,Bosnia and Herzegovina,home,L,0,1,True
Colombia,2018-03-23,Friendly,France,away,W,3,2,True
Costa Rica,2018-03-23,Friendly,Scotland,away,W,1,0,True
Croatia,2018-03-23,Friendly,Peru,neutral,L,0,2,True
Curacao,2018-03-23,Friendly,Bolivia,home,D,1,1,True
Czechia,2018-03-23,Friendly,Uruguay,neutral,L,0,2,True
Egypt,2018-03-23,Friendly,Portugal,neutral,L,1,2,True
England,2018-03-23,Friendly,Netherlands,away,W,1,0,True
France,2018-03-23,Friendly,Colombia,home,L,2,3,True
Germany,2018-03-23,Friendly,Spain,home,D,1,1,True
Greece,2018-03-23,Friendly,Switzerland,home,L,0,1,True
Iceland,2018-03-23,Friendly,Mexico,neutral,L,0,3,True
Iran,2018-03-23,Friendly,Tunisia,away,L,0,1,True
Ireland,2018-03-23,Friendly,Turkey,away,L,0,1,True
Italy,2018-03-23,Friendly,Argentina,neutral,L,0,2,True
Japan,2018-03-23,Friendly,Mali,neutral,D,1,1,True
Mali,2018-03-23,Friendly,Japan,neutral,D,1,1,True
Mexico,2018-03-23,Friendly,Iceland,neutral,W,3,0,True
Morocco,2018-03-23,Friendly,Serbia,neutral,W,2,1,True
Netherlands,2018-03-23,Friendly,England,home,L,0,1,True
Norway,2018-03-23,Friendly,Australia,home,W,4,1,True
Peru,2018-03-23,Friendly,Croatia,neutral,W,2,0,True
Portugal,2018-03-23,Friendly,Egypt,neutral,W,2,1,True
Russia,2018-03-23,Friendly,Brazil,home,L,0,3,True
Saudi Arabia,2018-03-23,Friendly,Ukraine,neutral,D,1,1,True
Scotland,2018-03-23,Friendly,Costa Rica,home,L,0,1,True
Senegal,2018-03-23,Friendly,Uzbekistan,neutral,D,1,1,True
Serbia,2018-03-23,Friendly,Morocco,neutral,L,1,2,True
Slovenia,2018-03-23,Friendly,Austria,away,L,0,3,True
Spain,2018-03-23,Friendly,Germany,away,D,1,1,True
Switzerland,2018-03-23,Friendly,Greece,away,W,1,0,True
Tunisia,2018-03-23,Friendly,Iran,home,W,1,0,True
Turkey,2018-03-23,Friendly,Ireland,home,W,1,0,True
Ukraine,2018-03-23,Friendly,Saudi Arabia,neutral,D,1,1,True
Uruguay,2018-03-23,Friendly,Czechia,neutral,W,2,0,True
Uzbekistan,2018-03-23,Friendly,Senegal,neutral,D,1,1,True
Canada,2018-03-24,Friendly,New Zealand,neutral,W,1,0,True
Chile,2018-03-24,Friendly,Sweden,away,W,2,1,True
Ivory Coast,2018-03-24,Friendly,Togo,neutral,D,2,2,True
New Zealand,2018-03-24,Friendly,Canada,neutral,L,0,1,True
Northern Ireland,2018-03-24,Friendly,South Korea,home,W,2,1,True
Qatar,2018-03-24,Friendly,Syria,neutral,D,2,2,True
South Africa,2018-03-24,Friendly,Zambia,away,W,2,0,True
South Korea,2018-03-24,Friendly,Northern Ireland,away,L,1,2,True
Sweden,2018-03-24,Friendly,Chile,home,L,1,2,True
Syria,2018-03-24,Friendly,Qatar,neutral,D,2,2,True
Togo,2018-03-24,Friendly,Ivory Coast,neutral,D,2,2,True
Zambia,2018-03-24,Friendly,South Africa,home,L,0,2,True
Albania,2018-03-26,Friendly,Norway,home,L,0,1,True
Bolivia,2018-03-26,Friendly,Curacao,away,L,0,1,True
China PR,2018-03-26,Friendly,Czechia,home,L,1,4,True
Curacao,2018-03-26,Friendly,Bolivia,home,W,1,0,True
Czechia,2018-03-26,Friendly,China PR,away,W,4,1,True
Netherlands,2018-03-26,Friendly,Portugal,neutral,W,3,0,True
Norway,2018-03-26,Friendly,Albania,away,W,1,0,True
Portugal,2018-03-26,Friendly,Netherlands,neutral,L,0,3,True
Uruguay,2018-03-26,Friendly,Wales,neutral,W,1,0,True
Wales,2018-03-26,Friendly,Uruguay,neutral,L,0,1,True
Algeria,2018-03-27,Friendly,Iran,neutral,L,1,2,True
Argentina,2018-03-27,Friendly,Spain,away,L,1,6,True
Australia,2018-03-27,Friendly,Colombia,neutral,D,0,0,True
Austria,2018-03-27,Friendly,Luxembourg,away,W,4,0,True
Belgium,2018-03-27,Friendly,Saudi Arabia,home,W,4,0,True
Bosnia and Herzegovina,2018-03-27,Friendly,Senegal,neutral,D,0,0,True
Brazil,2018-03-27,Friendly,Germany,away,W,1,0,True
Colombia,2018-03-27,Friendly,Australia,neutral,D,0,0,True
Costa Rica,2018-03-27,Friendly,Tunisia,neutral,L,0,1,True
Croatia,2018-03-27,Friendly,Mexico,neutral,W,1,0,True
DR Congo,2018-03-27,Friendly,Tanzania,away,L,0,2,True
Egypt,2018-03-27,Friendly,Greece,neutral,L,0,1,True
England,2018-03-27,Friendly,Italy,home,D,1,1,True
France,2018-03-27,Friendly,Russia,away,W,3,1,True
Germany,2018-03-27,Friendly,Brazil,home,L,0,1,True
Greece,2018-03-27,Friendly,Egypt,neutral,W,1,0,True
Hungary,2018-03-27,Friendly,Scotland,home,L,0,1,True
Iran,2018-03-27,Friendly,Algeria,neutral,W,2,1,True
Iraq,2018-03-27,Friendly,Syria,home,D,1,1,True
Italy,2018-03-27,Friendly,England,away,D,1,1,True
Ivory Coast,2018-03-27,Friendly,Moldova,neutral,W,2,1,True
Japan,2018-03-27,Friendly,Ukraine,neutral,L,1,2,True
Luxembourg,2018-03-27,Friendly,Austria,home,L,0,4,True
Mexico,2018-03-27,Friendly,Croatia,neutral,L,0,1,True
Moldova,2018-03-27,Friendly,Ivory Coast,neutral,L,1,2,True
Montenegro,2018-03-27,Friendly,Turkey,home,D,2,2,True
Morocco,2018-03-27,Friendly,Uzbekistan,home,W,2,0,True
Panama,2018-03-27,Friendly,Switzerland,away,L,0,6,True
Paraguay,2018-03-27,Friendly,United States,away,L,0,1,True
Poland,2018-03-27,Friendly,South Korea,home,W,3,2,True
Romania,2018-03-27,Friendly,Sweden,home,W,1,0,True
Russia,2018-03-27,Friendly,France,home,L,1,3,True
Saudi Arabia,2018-03-27,Friendly,Belgium,away,L,0,4,True
Scotland,2018-03-27,Friendly,Hungary,away,W,1,0,True
Senegal,2018-03-27,Friendly,Bosnia and Herzegovina,neutral,D,0,0,True
South Korea,2018-03-27,Friendly,Poland,away,L,2,3,True
Spain,2018-03-27,Friendly,Argentina,home,W,6,1,True
Sweden,2018-03-27,Friendly,Romania,away,L,0,1,True
Switzerland,2018-03-27,Friendly,Panama,home,W,6,0,True
Syria,2018-03-27,Friendly,Iraq,away,D,1,1,True
Tanzania,2018-03-27,Friendly,DR Congo,home,W,2,0,True
Tunisia,2018-03-27,Friendly,Costa Rica,neutral,W,1,0,True
Turkey,2018-03-27,Friendly,Montenegro,away,D,2,2,True
Ukraine,2018-03-27,Friendly,Japan,neutral,W,2,1,True
United States,2018-03-27,Friendly,Paraguay,home,W,1,0,True
Uzbekistan,2018-03-27,Friendly,Morocco,away,L,0,2,True
Panama,2018-04-18,Friendly,Trinidad and Tobago,away,W,1,0,True
Trinidad and Tobago,2018-04-18,Friendly,Panama,home,L,0,1,True
Iraq,2018-05-08,Friendly,Palestine,home,D,0,0,True
Palestine,2018-05-08,Friendly,Iraq,away,D,0,0,True
Algeria,2018-05-09,Friendly,Saudi Arabia,neutral,L,0,2,True
Saudi Arabia,2018-05-09,Friendly,Algeria,neutral,W,2,0,True
Greece,2018-05-15,Friendly,Saudi Arabia,neutral,L,0,2,True
Saudi Arabia,2018-05-15,Friendly,Greece,neutral,W,2,0,True
Iran,2018-05-19,Friendly,Uzbekistan,home,W,1,0,True
Uzbekistan,2018-05-19,Friendly,Iran,away,L,0,1,True
Cyprus,2018-05-20,Friendly,Jordan,away,L,0,3,True
Jordan,2018-05-20,Friendly,Cyprus,home,W,3,0,True
Egypt,2018-05-25,Friendly,Kuwait,away,D,1,1,True
Kuwait,2018-05-25,Friendly,Egypt,home,D,1,1,True
Bolivia,2018-05-28,Friendly,United States,away,L,0,3,True
Bosnia and Herzegovina,2018-05-28,Friendly,Montenegro,home,D,0,0,True
DR Congo,2018-05-28,Friendly,Nigeria,away,D,1,1,True
France,2018-05-28,Friendly,Ireland,home,W,2,0,True
Honduras,2018-05-28,Friendly,South Korea,away,L,0,2,True
Iran,2018-05-28,Friendly,Turkey,away,L,1,2,True
Ireland,2018-05-28,Friendly,France,away,L,0,2,True
Italy,2018-05-28,Friendly,Saudi Arabia,neutral,W,2,1,True
Mexico,2018-05-28,Friendly,Wales,neutral,D,0,0,True
Montenegro,2018-05-28,Friendly,Bosnia and Herzegovina,away,D,0,0,True
Nigeria,2018-05-28,Friendly,DR Congo,home,D,1,1,True
Portugal,2018-05-28,Friendly,Tunisia,home,D,2,2,True
Saudi Arabia,2018-05-28,Friendly,Italy,neutral,L,1,2,True
South Korea,2018-05-28,Friendly,Honduras,home,W,2,0,True
Tunisia,2018-05-28,Friendly,Portugal,away,D,2,2,True
Turkey,2018-05-28,Friendly,Iran,home,W,2,1,True
United States,2018-05-28,Friendly,Bolivia,home,W,3,0,True
Wales,2018-05-28,Friendly,Mexico,neutral,D,0,0,True
Argentina,2018-05-29,Friendly,Haiti,home,W,4,0,True
Haiti,2018-05-29,Friendly,Argentina,away,L,0,4,True
Northern Ireland,2018-05-29,Friendly,Panama,away,D,0,0,True
Panama,2018-05-29,Friendly,Northern Ireland,home,D,0,0,True
Peru,2018-05-29,Friendly,Scotland,home,W,2,0,True
Scotland,2018-05-29,Friendly,Peru,away,L,0,2,True
Austria,2018-05-30,Friendly,Russia,home,W,1,0,True
Ghana,2018-05-30,Friendly,Japan,away,W,2,0,True
Japan,2018-05-30,Friendly,Ghana,home,L,0,2,True
Russia,2018-05-30,Friendly,Austria,away,L,0,1,True
Luxembourg,2018-05-31,Friendly,Senegal,home,D,0,0,True
Morocco,2018-05-31,Friendly,Ukraine,neutral,D,0,0,True
Netherlands,2018-05-31,Friendly,Slovakia,away,D,1,1,True
Senegal,2018-05-31,Friendly,Luxembourg,away,D,0,0,True
Slovakia,2018-05-31,Friendly,Netherlands,home,D,1,1,True
Ukraine,2018-05-31,Friendly,Morocco,neutral,D,0,0,True
Algeria,2018-06-01,Friendly,Cape Verde,home,L,2,3,True
Australia,2018-06-01,Friendly,Czechia,neutral,W,4,0,True
Bosnia and Herzegovina,2018-06-01,Friendly,South Korea,away,W,3,1,True
Cape Verde,2018-06-01,Friendly,Algeria,away,W,3,2,True
Colombia,2018-06-01,Friendly,Egypt,neutral,D,0,0,True
Czechia,2018-06-01,Friendly,Australia,neutral,L,0,4,True
Egypt,2018-06-01,Friendly,Colombia,neutral,D,0,0,True
France,2018-06-01,Friendly,Italy,home,W,3,1,True
Italy,2018-06-01,Friendly,France,away,L,1,3,True
South Korea,2018-06-01,Friendly,Bosnia and Herzegovina,home,L,1,3,True
Tunisia,2018-06-01,Friendly,Turkey,neutral,D,2,2,True
Turkey,2018-06-01,Friendly,Tunisia,neutral,D,2,2,True
Austria,2018-06-02,Friendly,Germany,home,W,2,1,True
Belgium,2018-06-02,Friendly,Portugal,home,D,0,0,True
Denmark,2018-06-02,Friendly,Sweden,away,D,0,0,True
England,2018-06-02,Friendly,Nigeria,home,W,2,1,True
Germany,2018-06-02,Friendly,Austria,away,L,1,2,True
Iceland,2018-06-02,Friendly,Norway,home,L,2,3,True
Ireland,2018-06-02,Friendly,United States,home,W,2,1,True
Mexico,2018-06-02,Friendly,Scotland,home,W,1,0,True
Nigeria,2018-06-02,Friendly,England,away,L,1,2,True
Norway,2018-06-02,Friendly,Iceland,away,W,3,2,True
Portugal,2018-06-02,Friendly,Belgium,away,D,0,0,True
Scotland,2018-06-02,Friendly,Mexico,away,L,0,1,True
Sweden,2018-06-02,Friendly,Denmark,home,D,0,0,True
United States,2018-06-02,Friendly,Ireland,away,L,1,2,True
Andorra,2018-06-03,Friendly,Cape Verde,neutral,D,0,0,True
Brazil,2018-06-03,Friendly,Croatia,neutral,W,2,0,True
Cape Verde,2018-06-03,Friendly,Andorra,neutral,D,0,0,True
Croatia,2018-06-03,Friendly,Brazil,neutral,L,0,2,True
Peru,2018-06-03,Friendly,Saudi Arabia,neutral,W,3,0,True
Saudi Arabia,2018-06-03,Friendly,Peru,neutral,L,0,3,True
Spain,2018-06-03,Friendly,Switzerland,home,D,1,1,True
Switzerland,2018-06-03,Friendly,Spain,away,D,1,1,True
Italy,2018-06-04,Friendly,Netherlands,home,D,1,1,True
Morocco,2018-06-04,Friendly,Slovakia,neutral,W,2,1,True
Netherlands,2018-06-04,Friendly,Italy,away,D,1,1,True
Slovakia,2018-06-04,Friendly,Morocco,neutral,L,1,2,True
Russia,2018-06-05,Friendly,Turkey,home,D,1,1,True
Turkey,2018-06-05,Friendly,Russia,away,D,1,1,True
Belgium,2018-06-06,Friendly,Egypt,home,W,3,0,True
Czechia,2018-06-06,Friendly,Nigeria,neutral,W,1,0,True
Egypt,2018-06-06,Friendly,Belgium,away,L,0,3,True
Nigeria,2018-06-06,Friendly,Czechia,neutral,L,0,1,True
Norway,2018-06-06,Friendly,Panama,home,W,1,0,True
Panama,2018-06-06,Friendly,Norway,away,L,0,1,True
Algeria,2018-06-07,Friendly,Portugal,away,L,0,3,True
Bolivia,2018-06-07,Friendly,South Korea,neutral,D,0,0,True
Costa Rica,2018-06-07,Friendly,England,away,L,0,2,True
England,2018-06-07,Friendly,Costa Rica,home,W,2,0,True
Ghana,2018-06-07,Friendly,Iceland,away,D,2,2,True
Iceland,2018-06-07,Friendly,Ghana,home,D,2,2,True
Portugal,2018-06-07,Friendly,Algeria,home,W,3,0,True
South Korea,2018-06-07,Friendly,Bolivia,neutral,D,0,0,True
Uruguay,2018-06-07,Friendly,Uzbekistan,home,W,3,0,True
Uzbekistan,2018-06-07,Friendly,Uruguay,away,L,0,3,True
Croatia,2018-06-08,Friendly,Senegal,home,W,2,1,True
Germany,2018-06-08,Friendly,Saudi Arabia,home,W,2,1,True
Iran,2018-06-08,Friendly,Lithuania,neutral,W,1,0,True
Japan,2018-06-08,Friendly,Switzerland,away,L,0,2,True
Lithuania,2018-06-08,Friendly,Iran,neutral,L,0,1,True
Saudi Arabia,2018-06-08,Friendly,Germany,away,L,1,2,True
Senegal,2018-06-08,Friendly,Croatia,away,L,1,2,True
Switzerland,2018-06-08,Friendly,Japan,home,W,2,0,True
Australia,2018-06-09,Friendly,Hungary,away,W,2,1,True
Denmark,2018-06-09,Friendly,Mexico,home,W,2,0,True
Estonia,2018-06-09,Friendly,Morocco,home,L,1,3,True
France,2018-06-09,Friendly,United States,home,D,1,1,True
Hungary,2018-06-09,Friendly,Australia,home,L,1,2,True
Mexico,2018-06-09,Friendly,Denmark,away,L,0,2,True
Morocco,2018-06-09,Friendly,Estonia,away,W,3,1,True
Peru,2018-06-09,Friendly,Sweden,away,D,0,0,True
Spain,2018-06-09,Friendly,Tunisia,neutral,W,1,0,True
Sweden,2018-06-09,Friendly,Peru,home,D,0,0,True
Tunisia,2018-06-09,Friendly,Spain,neutral,L,0,1,True
United States,2018-06-09,Friendly,France,away,D,1,1,True
Austria,2018-06-10,Friendly,Brazil,home,L,0,3,True
Brazil,2018-06-10,Friendly,Austria,away,W,3,0,True
Belgium,2018-06-11,Friendly,Costa Rica,home,W,4,1,True
Costa Rica,2018-06-11,Friendly,Belgium,away,L,1,4,True
Senegal,2018-06-11,Friendly,South Korea,neutral,W,2,0,True
South Korea,2018-06-11,Friendly,Senegal,neutral,L,0,2,True
Japan,2018-06-12,Friendly,Paraguay,neutral,W,4,2,True
Paraguay,2018-06-12,Friendly,Japan,neutral,L,2,4,True
Iraq,2018-08-04,Friendly,Palestine,away,W,3,0,True
Palestine,2018-08-04,Friendly,Iraq,home,L,0,3,True
Austria,2018-09-06,Friendly,Sweden,home,W,2,0,True
Croatia,2018-09-06,Friendly,Portugal,away,D,1,1,True
Jordan,2018-09-06,Friendly,Lebanon,home,L,0,1,True
Lebanon,2018-09-06,Friendly,Jordan,away,W,1,0,True
Netherlands,2018-09-06,Friendly,Peru,home,W,2,1,True
Peru,2018-09-06,Friendly,Netherlands,away,L,1,2,True
Portugal,2018-09-06,Friendly,Croatia,home,D,1,1,True
Sweden,2018-09-06,Friendly,Austria,away,L,0,2,True
Syria,2018-09-06,Friendly,Uzbekistan,away,D,1,1,True
Uzbekistan,2018-09-06,Friendly,Syria,home,D,1,1,True
Argentina,2018-09-07,Friendly,Guatemala,neutral,W,3,0,True
Belgium,2018-09-07,Friendly,Scotland,away,W,4,0,True
Brazil,2018-09-07,Friendly,United States,away,W,2,0,True
China PR,2018-09-07,Friendly,Qatar,away,L,0,1,True
Colombia,2018-09-07,Friendly,Venezuela,neutral,W,2,1,True
Costa Rica,2018-09-07,Friendly,South Korea,away,L,0,2,True
Ecuador,2018-09-07,Friendly,Jamaica,neutral,W,2,0,True
Guatemala,2018-09-07,Friendly,Argentina,neutral,L,0,3,True
Jamaica,2018-09-07,Friendly,Ecuador,neutral,L,0,2,True
Mexico,2018-09-07,Friendly,Uruguay,neutral,L,1,4,True
Qatar,2018-09-07,Friendly,China PR,home,W,1,0,True
Scotland,2018-09-07,Friendly,Belgium,home,L,0,4,True
South Korea,2018-09-07,Friendly,Costa Rica,home,W,2,0,True
United States,2018-09-07,Friendly,Brazil,home,L,0,2,True
Uruguay,2018-09-07,Friendly,Mexico,neutral,W,4,1,True
Venezuela,2018-09-07,Friendly,Colombia,neutral,L,1,2,True
Germany,2018-09-09,Friendly,Peru,home,W,2,1,True
Peru,2018-09-09,Friendly,Germany,away,L,1,2,True
Bolivia,2018-09-10,Friendly,Saudi Arabia,away,D,2,2,True
Czechia,2018-09-10,Friendly,Russia,away,L,1,5,True
Iraq,2018-09-10,Friendly,Kuwait,away,D,2,2,True
Kuwait,2018-09-10,Friendly,Iraq,home,D,2,2,True
Russia,2018-09-10,Friendly,Czechia,home,W,5,1,True
Saudi Arabia,2018-09-10,Friendly,Bolivia,home,D,2,2,True
Argentina,2018-09-11,Friendly,Colombia,neutral,D,0,0,True
Chile,2018-09-11,Friendly,South Korea,away,D,0,0,True
Colombia,2018-09-11,Friendly,Argentina,neutral,D,0,0,True
Ecuador,2018-09-11,Friendly,Guatemala,neutral,W,2,0,True
England,2018-09-11,Friendly,Switzerland,home,W,1,0,True
Guatemala,2018-09-11,Friendly,Ecuador,neutral,L,0,2,True
Iran,2018-09-11,Friendly,Uzbekistan,away,W,1,0,True
Jordan,2018-09-11,Friendly,Oman,home,D,0,0,True
Mexico,2018-09-11,Friendly,United States,away,L,0,1,True
Oman,2018-09-11,Friendly,Jordan,away,D,0,0,True
Palestine,2018-09-11,Friendly,Qatar,away,L,0,3,True
Panama,2018-09-11,Friendly,Venezuela,home,L,0,2,True
Qatar,2018-09-11,Friendly,Palestine,home,W,3,0,True
South Korea,2018-09-11,Friendly,Chile,home,D,0,0,True
Switzerland,2018-09-11,Friendly,England,away,L,0,1,True
United States,2018-09-11,Friendly,Mexico,home,W,1,0,True
Uzbekistan,2018-09-11,Friendly,Iran,home,L,0,1,True
Venezuela,2018-09-11,Friendly,Panama,away,W,2,0,True
Brazil,2018-09-12,Friendly,El Salvador,neutral,W,5,0,True
El Salvador,2018-09-12,Friendly,Brazil,neutral,L,0,5,True
Albania,2018-10-10,Friendly,Jordan,home,D,0,0,True
Jordan,2018-10-10,Friendly,Albania,away,D,0,0,True
Argentina,2018-10-11,Friendly,Iraq,neutral,W,4,0,True
Bosnia and Herzegovina,2018-10-11,Friendly,Turkey,away,D,0,0,True
Colombia,2018-10-11,Friendly,United States,away,W,4,2,True
Costa Rica,2018-10-11,Friendly,Mexico,away,L,2,3,True
France,2018-10-11,Friendly,Iceland,home,D,2,2,True
Iceland,2018-10-11,Friendly,France,away,D,2,2,True
Iraq,2018-10-11,Friendly,Argentina,neutral,L,0,4,True
Mexico,2018-10-11,Friendly,Costa Rica,home,W,3,2,True
Spain,2018-10-11,Friendly,Wales,away,W,4,1,True
Turkey,2018-10-11,Friendly,Bosnia and Herzegovina,home,D,0,0,True
United States,2018-10-11,Friendly,Colombia,home,L,2,4,True
Wales,2018-10-11,Friendly,Spain,home,L,1,4,True
Brazil,2018-10-12,Friendly,Saudi Arabia,away,W,2,0,True
Ecuador,2018-10-12,Friendly,Qatar,away,L,3,4,True
Qatar,2018-10-12,Friendly,Ecuador,home,W,4,3,True
Saudi Arabia,2018-10-12,Friendly,Brazil,home,L,0,2,True
South Korea,2018-10-12,Friendly,Uruguay,home,W,2,1,True
Uruguay,2018-10-12,Friendly,South Korea,away,L,1,2,True
North Korea,2018-10-13,Friendly,Uzbekistan,away,L,0,2,True
Uzbekistan,2018-10-13,Friendly,North Korea,home,W,2,0,True
Portugal,2018-10-14,Friendly,Scotland,away,W,3,1,True
Scotland,2018-10-14,Friendly,Portugal,home,L,1,3,True
Australia,2018-10-15,Friendly,Kuwait,away,W,4,0,True
Croatia,2018-10-15,Friendly,Jordan,home,W,2,1,True
Iraq,2018-10-15,Friendly,Saudi Arabia,away,D,1,1,True
Jordan,2018-10-15,Friendly,Croatia,away,L,1,2,True
Kuwait,2018-10-15,Friendly,Australia,home,L,0,4,True
Saudi Arabia,2018-10-15,Friendly,Iraq,home,D,1,1,True
Austria,2018-10-16,Friendly,Denmark,away,L,0,2,True
Belgium,2018-10-16,Friendly,Netherlands,home,D,1,1,True
Bolivia,2018-10-16,Friendly,Iran,away,L,1,2,True
Chile,2018-10-16,Friendly,Mexico,away,W,1,0,True
Colombia,2018-10-16,Friendly,Costa Rica,neutral,W,3,1,True
Costa Rica,2018-10-16,Friendly,Colombia,neutral,L,1,3,True
Denmark,2018-10-16,Friendly,Austria,home,W,2,0,True
Ecuador,2018-10-16,Friendly,Oman,neutral,D,0,0,True
Iran,2018-10-16,Friendly,Bolivia,home,W,2,1,True
Mexico,2018-10-16,Friendly,Chile,home,L,0,1,True
Netherlands,2018-10-16,Friendly,Belgium,away,D,1,1,True
Oman,2018-10-16,Friendly,Ecuador,neutral,D,0,0,True
Panama,2018-10-16,Friendly,South Korea,away,D,2,2,True
Peru,2018-10-16,Friendly,United States,away,D,1,1,True
Qatar,2018-10-16,Friendly,Uzbekistan,away,L,0,2,True
Slovakia,2018-10-16,Friendly,Sweden,away,D,1,1,True
South Korea,2018-10-16,Friendly,Panama,home,D,2,2,True
Sweden,2018-10-16,Friendly,Slovakia,home,D,1,1,True
United States,2018-10-16,Friendly,Peru,home,D,1,1,True
Uzbekistan,2018-10-16,Friendly,Qatar,home,W,2,0,True
Qatar,2018-11-14,Friendly,Switzerland,away,W,1,0,True
Switzerland,2018-11-14,Friendly,Qatar,home,L,0,1,True
Czechia,2018-11-15,Friendly,Poland,away,W,1,0,True
Ecuador,2018-11-15,Friendly,Peru,away,W,2,0,True
England,2018-11-15,Friendly,United States,home,W,3,0,True
Germany,2018-11-15,Friendly,Russia,home,W,3,0,True
Iran,2018-11-15,Friendly,Trinidad and Tobago,home,W,1,0,True
Lebanon,2018-11-15,Friendly,Uzbekistan,neutral,D,0,0,True
Peru,2018-11-15,Friendly,Ecuador,home,L,0,2,True
Poland,2018-11-15,Friendly,Czechia,home,L,0,1,True
Russia,2018-11-15,Friendly,Germany,away,L,0,3,True
Trinidad and Tobago,2018-11-15,Friendly,Iran,away,L,0,1,True
United States,2018-11-15,Friendly,England,away,L,0,3,True
Uzbekistan,2018-11-15,Friendly,Lebanon,neutral,D,0,0,True
Argentina,2018-11-16,Friendly,Mexico,home,W,2,0,True
Brazil,2018-11-16,Friendly,Uruguay,neutral,W,1,0,True
Honduras,2018-11-16,Friendly,Panama,home,W,1,0,True
Mexico,2018-11-16,Friendly,Argentina,away,L,0,2,True
Panama,2018-11-16,Friendly,Honduras,away,L,0,1,True
Saudi Arabia,2018-11-16,Friendly,Yemen,home,W,1,0,True
Uruguay,2018-11-16,Friendly,Brazil,neutral,L,0,1,True
Yemen,2018-11-16,Friendly,Saudi Arabia,away,L,0,1,True
Australia,2018-11-17,Friendly,South Korea,home,D,1,1,True
India,2018-11-17,Friendly,Jordan,away,L,1,2,True
Jordan,2018-11-17,Friendly,India,home,W,2,1,True
South Korea,2018-11-17,Friendly,Australia,away,D,1,1,True
Bosnia and Herzegovina,2018-11-18,Friendly,Spain,away,L,0,1,True
Spain,2018-11-18,Friendly,Bosnia and Herzegovina,home,W,1,0,True
Iceland,2018-11-19,Friendly,Qatar,neutral,D,2,2,True
Qatar,2018-11-19,Friendly,Iceland,neutral,D,2,2,True
Argentina,2018-11-20,Friendly,Mexico,home,W,2,0,True
Australia,2018-11-20,Friendly,Lebanon,home,W,3,0,True
Bolivia,2018-11-20,Friendly,Iraq,away,D,0,0,True
Brazil,2018-11-20,Friendly,Cameroon,neutral,W,1,0,True
Cameroon,2018-11-20,Friendly,Brazil,neutral,L,0,1,True
Ecuador,2018-11-20,Friendly,Panama,away,W,2,1,True
El Salvador,2018-11-20,Friendly,Haiti,home,W,1,0,True
France,2018-11-20,Friendly,Uruguay,home,W,1,0,True
Haiti,2018-11-20,Friendly,El Salvador,away,L,0,1,True
Iran,2018-11-20,Friendly,Venezuela,neutral,D,1,1,True
Iraq,2018-11-20,Friendly,Bolivia,home,D,0,0,True
Italy,2018-11-20,Friendly,United States,neutral,W,1,0,True
